Names,Kills,Avg Kills til next Win,Deaths,KDR,Avg Deaths til next Win,Wins,Top 5,Top 5 Win %
Raven 1,5621,25.8,6772,0.83,31.1,218,970,0.225
Tiger 2,117,23.4,111,1.05,22.3,5,28,0.179
Gorilla 5,186,16.9,332,0.56,30.2,11,68,0.162
Rat 6,17381,45.1,10863,1.60,28.2,385,1440,0.267
Cobra 7,5416,21.1,4879,1.11,19.0,257,999,0.257
Falcon 8,1561,12.3,1815,0.86,14.3,127,449,0.283
Jaguar 9,3849,21.3,5132,0.75,28.4,181,744,0.243
Goat 23,1015,19.2,1238,0.82,23.4,53,219,0.242
Bornbeef n rice,5057,24.7,5949,0.85,29.0,205,824,0.249
Big Kahuna,3098,22.0,3261,0.95,23.1,141,573,0.246
Dj,3059,42.5,3154,0.97,43.8,72,317,0.227
I Hit THose ,5060,24.2,3776,1.34,18.1,209,773,0.270
Malakai,2314,27.2,2630,0.88,30.9,85,383,0.222
Mjdauce,2241,32.0,2094,1.07,29.9,70,287,0.244
Natty Dread,122,12.2,298,0.41,29.8,10,44,0.227
Snake Eyez,2876,20.5,3886,0.74,27.8,140,648,0.216
